y_m,eta,x_le_m,z_le_m,chord_m,twist_deg,x_ea_m,x_ac_m,x_ac_minus_x_ea_m
0.0,0.0,0.0,0.0,0.55,0.0,0.1925,0.1375,-0.05499999999999999
0.15,0.049999999999999996,0.0,0.007861166892456181,0.539,-0.09999999999999999,0.18865,0.13475,-0.0539
0.3,0.09999999999999999,0.0,0.015722333784912362,0.528,-0.19999999999999998,0.1848,0.132,-0.052799999999999986
0.44999999999999996,0.15,0.0,0.023583500677368543,0.517,-0.3,0.18095,0.12925,-0.051699999999999996
0.6,0.19999999999999998,0.0,0.031444667569824725,0.506,-0.39999999999999997,0.17709999999999998,0.1265,-0.05059999999999998
0.75,0.25,0.0,0.039305834462280906,0.49500000000000005,-0.5,0.17325000000000002,0.12375000000000001,-0.0495
0.8999999999999999,0.3,0.0,0.04716700135473709,0.48400000000000004,-0.6,0.1694,0.12100000000000001,-0.048399999999999985
1.05,0.35000000000000003,0.0,0.055028168247193275,0.47300000000000003,-0.7000000000000001,0.16555,0.11825000000000001,-0.047299999999999995
1.2,0.39999999999999997,0.0,0.06288933513964945,0.462,-0.7999999999999999,0.1617,0.1155,-0.046200000000000005
1.3499999999999999,0.44999999999999996,0.0,0.07075050203210563,0.45100000000000007,-0.8999999999999999,0.15785000000000002,0.11275000000000002,-0.0451
1.5,0.5,0.0,0.07861166892456181,0.44000000000000006,-1.0,0.154,0.11000000000000001,-0.043999999999999984
1.65,0.5499999999999999,0.0,0.08647283581701799,0.42900000000000005,-1.0999999999999999,0.15015,0.10725000000000001,-0.042899999999999994
1.7999999999999998,0.6,0.0,0.09433400270947417,0.41800000000000004,-1.2,0.1463,0.10450000000000001,-0.041800000000000004
1.95,0.65,0.0,0.10219516960193036,0.40700000000000003,-1.3,0.14245,0.10175000000000001,-0.040699999999999986
2.1,0.7000000000000001,0.0,0.11005633649438655,0.396,-1.4000000000000001,0.1386,0.099,-0.039599999999999996
2.25,0.75,0.0,0.11791750338684272,0.385,-1.5,0.13474999999999998,0.09625,-0.03849999999999998
2.4,0.7999999999999999,0.0,0.1257786702792989,0.374,-1.5999999999999999,0.1309,0.0935,-0.03739999999999999
2.55,0.85,0.0,0.13363983717175507,0.363,-1.7,0.12705,0.09075,-0.0363
2.6999999999999997,0.8999999999999999,0.0,0.14150100406421126,0.35200000000000004,-1.7999999999999998,0.1232,0.08800000000000001,-0.035199999999999995
2.85,0.9500000000000001,0.0,0.14936217095666746,0.34099999999999997,-1.9000000000000001,0.11934999999999998,0.08524999999999999,-0.03409999999999999
3.0,1.0,0.0,0.15722333784912362,0.33,-2.0,0.11549999999999999,0.0825,-0.03299999999999999
